Point_time	AUGEVolume	AUGEASTLEVANALOG	AUGWVOLUME	AUGWESTLEVANALOG	ASHREL	SICRESVOLUME	SICRESELEVANALOG	STPALBFLW	RECRESVOLUME	RECRESELEVANALOG	RECREL	NICRESVOLUME	NICRESELEVANALOG	NICNTHFLW	NICSTHFLW	NICCONFLW	EDIRESVOLUME	EDIRESELEVANALOG	EDRNTHFLW	EDRSTHFLW	EDRCONFLW	WDIRESVOLUME	WDIRESELEVANALOG	WDRFLW
01/11/2018	59.89	573.98	32.67	573.78	12	11.54	1105.27	285.20	47.13	835.66	9.68	27.63	1422.97	36.10	0	0.00	109.01	1259.77	47.90	0.00	0.00	49.73	1114.70	87.90
01/12/2018	60.76	573.98	33.21	574.36	12	13.54	1111.98	300.00	47.76	836.59	9.67	29.91	1428.17	36.20	0	0.00	111.33	1261.2	48.00	0.00	0.00	51.82	1116.52	88.00
01/13/2018	61.78	574.58	36.86	575.02	12	15.63	1120.35	67.80	48.12	837.13	9.74	30.93	1430.44	36.10	0	0.00	113.23	1262.4	48.30	0.00	0.00	54.08	1118.45	88.90
01/14/2018	62.71	575.26	36.72	579.23	8	16.32	1122.57	1.50	48.15	837.17	9.75	31.23	1431.09	36.10	0	0.00	114.03	1262.9	48.40	0.00	0.00	55.24	1119.44	87.80
01/15/2018	63.52	575.87	36.3	579.03	13	16.85	1124.10	0.00	48.12	837.13	9.72	31.45	1431.57	36.20	0	0.00	114.61	1263.25	48.00	0.00	0.00	56.17	1120.23	88.20
01/16/2018	63.73	576.39	36.3	578.55	13	17.37	1123.80	0.00	48.07	837.05	9.73	31.67	1432.04	36.20	0	0.00	115.02	1263.5	48.00	0.00	0.00	57.12	1121.01	88.60
01/17/2018	63.83	576.53	36.3	578.55	13	17.66	1123.39	98.40	47.93	836.83	9.72	31.83	1432.4	36.10	0	0.00	115.17	1263.59	48.00	0.00	0.00	57.82	1121.59	88.90
01/18/2018	63.88	576.58	36.4	578.55	13	17.67	1123.09	287.00	47.8	836.65	9.72	31.96	1432.67	36.00	0	0.00	115.29	1263.66	48.00	0.00	0.00	58.35	1122.01	89.10
01/19/2018	63.98	576.63	36.51	578.68	14	17.59	1122.62	375.40	47.66	836.44	9.7	32.09	1432.96	38.20	0	0.00	115.35	1263.7	50.30	0.00	0.00	58.86	1122.43	95.80
01/20/2018	63.44	576.69	37.2	578.8	14	17.52	1122.48	395.30	47.63	836.4	9.68	32.21	1433.22	39.10	0	0.00	115.52	1263.8	51.50	0.00	0.00	59.36	1122.84	99.20
01/21/2018	63.03	576.34	37.93	579.59	13	17.42	1122.25	394.20	47.19	835.75	9.68	32.34	1433.49	39.10	0	0.00	115.64	1263.87	51.50	0.00	0.00	59.8	1123.20	98.20
01/22/2018	62.74	576.07	38.77	580.4	14	17.36	1122.06	393.60	47.01	835.48	9.66	32.48	1433.81	39.20	0	0.00	115.79	1263.97	51.50	0.00	0.00	60.38	1123.70	98.00
01/23/2018	62.6	575.89	41.17	581.3	16	18.58	1125.46	400.10	47.95	836.86	9.67	33.56	1436.05	39.10	0	0.00	117.78	1265.16	52.40	0.00	0.00	63.35	1126.06	97.20
01/24/2018	62.84	575.79	42.09	583.89	16	18.24	1124.58	404.30	48.32	837.43	9.72	33.69	1436.33	39.00	0.1	0.10	118.61	1265.66	52.00	0.00	0.00	65.05	1127.40	97.60
01/25/2018	63.22	575.95	42.63	584.9	13	18.03	1125.71	399.20	48.43	837.59	9.72	33.64	1436.22	0.00	71	0.00	119.29	1266.07	51.30	0.60	0.00	66.19	1128.29	98.30
01/26/2018	63.71	576.19	42.89	585.43	13	17.97	1125.52	396.60	48.54	837.76	9.72	33.54	1436.02	0.00	71	0.00	119.72	1266.34	0.00	64.60	0.00	67.08	1128.99	112.90
01/27/2018	64.25	576.51	43.03	585.69	14	17.96	1125.54	396.10	48.31	837.41	9.72	33.43	1435.79	0.00	70.9	0.00	120.39	1266.73	0.00	64.50	0.00	67.87	1129.61	116.20
01/28/2018	64.78	576.86	43.1	585.83	14	17.91	1125.43	397.60	48.01	836.97	9.72	33.31	1435.53	0.00	70.9	0.00	120.98	1267.09	0.00	64.60	0.00	68.63	1130.20	113.40
01/29/2018	65.27	577.2	43.11	585.9	14	17.83	1125.16	396.20	47.93	836.85	9.68	33.15	1435.2	0.00	70.8	0.00	121.53	1267.42	0.00	64.60	0.00	69.25	1130.67	112.90
01/30/2018	65.6	577.53	43.23	585.91	14	17.75	1124.92	396.90	47.77	836.61	9.66	32.98	1434.85	0.00	70.8	0.00	121.73	1267.54	0.00	64.60	0.00	69.78	1131.07	115.40
01/31/2018	65.69	577.74	43.56	586.04	13	17.63	1124.57	393.90	47.61	836.38	9.67	32.75	1434.37	0.00	70.7	0.00	122.1	1267.76	0.00	64.70	0.00	70.21	1131.39	113.50
02/01/2018	65.69	577.8	43.85	586.37	15	17.52	1124.27	392.80	47.73	836.55	9.76	32.66	1434.19	0.00	70.7	0.00	122.03	1267.71	0.00	64.70	0.00	70.62	1131.71	115.00
02/02/2018	65.44	577.8	44.37	586.65	15	17.35	1124.45	362.80	47.77	836.6	9.74	32.53	1433.9	0.00	70.6	0.00	121.81	1267.59	0.00	64.60	0.00	70.89	1131.91	117.30
02/03/2018	65.13	577.63	44.86	587.17	14	17.24	1124.11	280.00	47.61	836.37	9.73	32.56	1433.98	0.00	70.6	0.00	121.67	1267.49	0.00	64.60	0.00	71.13	1132.09	114.30
02/04/2018	64.88	577.44	45.5	587.68	16	17.18	1123.95	280.50	47.49	836.19	9.74	32.65	1434.17	0.00	70.6	0.00	121.5	1267.4	0.00	64.50	0.00	71.48	1132.34	115.60
02/05/2018	64.81	577.28	45.65	588.3	16	17.08	1122.90	278.60	47.3	835.91	9.74	32.68	1434.23	0.00	70.7	0.00	121.3	1267.28	0.00	64.50	0.00	71.7	1132.52	115.50
02/06/2018	64.34	577.23	46.12	588.46	15	16.9	1122.26	362.50	47.11	835.62	9.71	32.74	1434.35	0.00	70.7	0.00	121.08	1267.15	55.80	8.90	0.00	71.93	1132.69	113.00
02/07/2018	64.94	576.92	46.27	588.94	18	16.72	1121.70	392.50	46.99	835.44	9.71	32.76	1434.39	0.00	70.7	0.00	120.97	1267.08	64.70	0.00	0.00	72.15	1132.86	111.60
02/08/2018	65.27	577.31	46.23	589.08	18	16.53	1121.19	389.40	46.99	835.44	9.7	32.79	1434.45	0.00	70.8	0.00	120.74	1266.94	64.60	0.00	0.00	72.18	1132.88	111.40
02/09/2018	65.85	577.52	45.86	589.05	17	16.37	1121.13	352.10	47.03	835.49	9.71	32.84	1434.55	0.00	70.8	0.00	120.37	1266.72	64.50	0.00	0.00	72.14	1132.85	114.50
02/10/2018	66.58	577.9	45.4	588.67	18	16.3	1120.93	317.10	46.95	835.38	9.69	32.9	1434.68	0.00	70.8	0.00	120.3	1266.68	64.50	0.00	0.00	72.19	1132.89	112.50
02/11/2018	67.4	578.38	45.37	588.21	20	16.72	1122.12	318.90	47.07	835.56	9.68	32.88	1434.64	0.00	70.8	0.00	121.02	1267.11	64.50	0.00	0.00	72.59	1133.19	113.20
02/12/2018	68.06	578.91	45.35	588.18	20	17.03	1122.77	323.70	47.04	835.52	9.7	32.9	1434.69	0.00	70.9	0.00	121.73	1267.54	64.60	0.00	0.00	73.48	1133.86	112.90
02/13/2018	68.68	579.34	45.24	588.16	19	17.18	1123.20	324.20	46.97	835.41	9.71	32.74	1434.36	0.00	70.8	0.00	122.26	1267.86	64.70	0.00	0.00	73.86	1134.16	113.00
02/14/2018	69.27	579.74	45.03	588.05	19	17.33	1124.13	267.80	46.87	835.27	9.68	32.56	1433.98	0.00	70.7	0.00	122.75	1268.15	64.70	0.00	0.00	74.19	1134.41	110.10
02/15/2018	69.86	580.13	45.05	587.83	20	17.66	1125.28	206.00	47.13	835.67	9.65	32.51	1433.86	0.00	70.7	0.00	123.51	1268.59	64.70	0.00	0.00	74.97	1134.99	112.70
02/16/2018	70.43	580.48	45.1	587.85	20	18.03	1125.84	184.70	47.23	835.8	9.67	32.82	1434.52	0.00	70.9	0.00	124	1268.87	64.90	0.00	0.00	75.18	1135.14	113.50
02/17/2018	71.01	580.84	45.07	587.92	13	18.06	1125.98	161.20	47.3	835.91	9.67	33.04	1434.97	0.00	71	0.00	125.18	1269.56	65.00	0.00	0.00	75.18	1135.14	113.80
02/18/2018	71.51	581.2	44.93	587.85	12	18.02	1125.89	158.70	47.36	835.99	9.67	33.18	1435.27	0.00	71.1	0.00	125.68	1269.85	65.00	0.00	0.00	78.47	1137.52	114.00
02/19/2018	72.03	581.5	44.91	587.74	13	18.11	1126.14	159.80	47.54	836.28	9.67	33.41	1435.74	0.00	71.1	0.00	126.41	1270.28	65.00	0.00	0.00	79.52	1138.28	114.10
02/20/2018	72.49	581.82	44.87	587.71	13	18.25	1126.80	55.00	48.02	836.98	9.67	33.6	1436.14	0.00	71	0.00	127.39	1270.78	65.20	0.00	0.00	81.33	1139.59	117.90
02/21/2018	72.94	582.11	44.81	587.7	13	18.29	1126.38	0.10	48.46	837.64	9.66	33.81	1436.57	56.50	62.3	0.00	128.13	1271.28	65.30	0.00	0.00	82.89	1140.69	114.50
02/22/2018	73.14	582.39	44.86	587.63	236	18.27	1126.31	0.60	48.88	838.27	9.7	33.87	1436.7	60.90	61.8	0.00	128.72	1271.61	65.40	0.00	0.00	84.51	1141.82	115.90
02/23/2018	73.36	582.5	44.94	587.68	293	18.37	1126.55	0.90	49.03	838.49	9.72	33.9	1436.76	60.70	61.9	0.00	129.68	1272.17	75.70	54.10	0.00	85.87	1142.75	260.60
02/24/2018	73.59	582.64	45.17	587.75	299	18.41	1126.70	1.00	49.02	838.47	9.72	34.23	1437.45	60.70	62	0.00	130.77	1272.8	142.60	97.30	0.00	87.31	1143.75	500.00
02/25/2018	73.84	582.79	45.92	587.99	301	18.57	1127.14	1.20	49.2	838.73	9.71	34.87	1438.78	60.90	62.1	0.00	132.29	1273.66	205.40	162.30	0.00	89.08	1144.97	744.30
02/26/2018	74.17	582.95	46.07	588.73	349	18.4	1126.74	1.00	48.94	838.35	9.73	35.19	1439.43	60.90	62.2	0.00	133.27	1274.21	226.90	224.80	0.00	90.09	1145.64	939.70
02/27/2018	74.52	583.15	46.03	588.89	354	18.32	1126.49	0.70	48.85	838.22	9.73	35.42	1439.9	60.90	62	0.00	134.04	1274.62	226.80	224.90	0.00	90.69	1146.03	966.30
02/28/2018	75.14	583.37	45.34	588.85	531	18.29	1126.39	0.40	48.73	838.04	9.71	35.57	1440.19	60.70	62	0.00	134.5	1274.91	227.00	224.80	0.00	91.04	1146.26	969.80
03/01/2018	75.83	583.75	44.67	588.15	590	18.26	1126.30	0.70	48.54	837.76	9.7	35.68	1440.41	60.90	62	0.00	135.16	1275.27	226.80	224.80	0.00	91.37	1146.48	970.00
03/02/2018	76.53	584.19	44.46	587.51	594	18.26	1126.32	0.50	48.54	837.76	9.71	35.66	1440.37	60.80	61.8	0.00	135.79	1275.62	226.90	225.10	0.00	91.66	1146.67	968.30
03/03/2018	76.93	584.61	43.86	587.24	594	18.26	1126.32	1.30	48.26	837.34	9.7	35.61	1440.27	60.90	61.8	0.00	136.09	1275.79	226.80	225.10	0.00	91.71	1146.70	961.10
03/04/2018	77.22	584.87	43.32	586.66	590	18.26	1126.32	1.00	47.93	836.85	9.68	35.59	1440.24	61.10	61.7	0.00	136.27	1275.89	226.80	225.10	0.00	91.6	1146.63	965.90
03/05/2018	77.32	585.04	42.82	586.11	589	17.95	1125.45	1.00	47.79	836.64	9.71	35.41	1439.88	60.90	61.7	0.00	136.45	1275.99	226.90	225.00	0.00	91.42	1146.51	964.60
03/06/2018	77.21	585.1	42.58	585.62	587	17.83	1125.09	0.60	47.75	836.55	9.7	35.2	1439.45	60.80	61.6	0.00	136.63	1276.09	226.90	224.90	0.00	91.22	1146.38	966.40
03/07/2018	77	585.04	42.49	585.38	588	17.76	1124.94	0.60	47.62	836.39	9.66	34.99	1439.03	60.90	62.1	0.00	136.68	1276.12	226.80	224.90	0.00	90.98	1146.22	966.50
03/08/2018	76.72	584.9	42.3	585.29	588	17.69	1124.76	0.00	47.62	836.38	9.66	34.75	1438.53	60.80	62.2	0.00	136.72	1276.14	226.80	224.90	0.00	90.69	1146.03	966.60
03/09/2018	76.45	584.73	42.09	585.1	584	17.59	1124.41	0.00	47.8	836.68	9.69	34.5	1438.02	60.90	62.1	0.00	136.63	1276.09	226.80	224.80	0.00	90.32	1145.79	910.40
03/10/2018	76.17	584.57	41.85	584.87	584	17.46	1124.09	0.00	47.79	836.63	9.68	34.29	1437.58	58.30	59.5	0.00	136.41	1275.97	217.40	215.50	0.00	89.94	1145.54	921.60
03/11/2018	75.9	584.39	41.57	584.61	586	17.3	1123.62	0.00	47.75	836.58	9.68	34.07	1437.12	60.90	62.1	0.00	136.22	1275.86	226.80	224.90	0.00	89.5	1145.24	961.60
03/12/2018	75.65	584.22	41.63	584.32	586	17.14	1123.14	0.00	47.7	836.51	9.69	33.9	1436.75	60.80	67.5	0.00	136.18	1275.84	226.90	224.80	0.00	89.35	1145.15	961.40
03/13/2018	75.35	584.06	41.87	584.39	257	17	1122.65	0.00	47.58	836.33	9.66	33.71	1436.37	0.00	70.9	0.00	136.22	1275.87	96.80	96.80	0.00	89.65	1145.35	183.80
03/14/2018	75.11	583.88	42.14	584.64	54	16.83	1122.16	0.00	47.47	836.16	9.63	33.51	1435.95	0.00	70.9	0.00	136.18	1275.84	96.80	96.80	0.00	90.05	1145.61	112.60
03/15/2018	75.08	583.73	42.1	584.93	13	16.65	1121.64	0.00	47.44	836.11	9.67	33.3	1435.52	0.00	70.8	0.00	136.06	1275.77	96.70	96.80	0.00	90.38	1145.83	113.40
03/16/2018	75.07	583.71	42.01	584.89	13	16.44	1121.02	0.00	47.5	836.2	9.76	33.09	1435.08	0.00	70.7	0.00	135.79	1275.62	96.70	96.70	0.00	90.67	1146.02	114.00
03/17/2018	75.06	583.7	41.95	584.8	12	16.22	1120.37	0.00	47.52	836.24	9.79	32.88	1434.64	0.00	70.6	0.00	135.56	1275.49	96.70	96.70	0.00	90.93	1146.19	112.70
03/18/2018	75.03	583.7	41.86	584.73	12	16	1119.69	0.70	47.54	836.27	9.79	32.66	1434.18	0.00	70.7	0.00	135.25	1275.32	97.30	96.70	0.00	91.17	1146.35	113.50
03/19/2018	74.98	583.68	41.79	584.64	12	15.75	1118.90	0.00	47.58	836.33	9.81	32.44	1433.71	0.00	70.7	0.00	134.97	1275.16	97.30	96.60	0.00	91.4	1146.50	113.50
03/20/2018	74.97	583.65	41.72	584.56	12	15.51	1118.77	0.00	47.5	836.21	9.82	32.28	1433.36	0.00	56.6	0.00	134.65	1274.98	69.60	96.60	0.00	91.57	1146.61	160.40
03/21/2018	74.86	583.64	41.63	584.48	13	15.27	1118.77	0.00	47.48	836.17	9.79	32.12	1433.02	0.00	48.1	0.00	134.4	1274.84	52.90	96.50	0.00	91.68	1146.68	197.40
03/22/2018	74.84	583.58	41.51	584.39	13	15.03	1118.77	0.00	47.6	836.36	9.75	31.91	1432.57	0.00	48	0.00	134.09	1274.67	52.90	96.50	0.00	91.78	1146.75	197.80
03/23/2018	74.81	583.56	41.42	584.26	13	14.8	1118.77	0.00	47.68	836.48	9.93	31.91	1432.57	0.00	48	0.00	133.82	1274.52	52.80	97.20	0.00	91.66	1146.67	288.00
03/24/2018	74.77	583.55	41.33	584.15	12	14.57	1118.77	0.00	47.68	836.48	9.92	31.95	1432.66	0.00	48	0.00	133.45	1274.3	52.80	97.30	0.00	91.4	1146.50	352.70
03/25/2018	74.69	583.52	41.26	584.06	12	14.35	1118.77	0.00	47.72	836.53	9.89	32.01	1432.79	0.00	48	0.00	133.13	1274.13	54.20	97.30	0.00	91.17	1146.35	356.20
03/26/2018	74.63	583.47	41.19	583.98	12	14.1	1114.46	0.00	47.65	836.43	9.85	32.05	1432.87	0.00	47.8	0.00	132.79	1273.94	71.30	78.00	0.00	90.93	1146.19	352.20
03/27/2018	74.56	583.43	41.14	583.91	11	13.9	1114.46	0.00	47.7	836.5	9.84	32.12	1433.03	0.00	48	0.00	132.57	1273.82	74.50	75.00	0.10	90.52	1145.92	615.10
03/28/2018	74.51	583.4	41.12	583.87	10	13.8	1114.46	0.00	47.7	836.51	9.84	32.15	1433.09	0.00	48.1	0.00	132.29	1273.67	74.60	74.90	0.00	89.99	1145.56	795.00
03/29/2018	74.46	583.36	41.16	583.84	11	14.13	1114.46	0.00	47.8	836.66	9.84	32.27	1433.34	0.00	48.1	0.00	132.63	1273.85	74.60	74.90	0.00	89.94	1145.54	793.50
03/30/2018	74.42	583.33	41.52	583.89	11	15.66	1114.46	0.00	47.74	836.56	9.85	32.58	1434.02	0.00	48.2	0.00	134.18	1274.72	69.30	22.00	0.00	91.96	1146.87	584.30
03/31/2018	74.51	583.31	41.89	584.27	11	16.65	1114.46	0.00	47.64	836.42	9.85	32.82	1434.51	0.00	48	0.00	135.36	1275.38	64.70	0.00	0.00	93.77	1148.06	243.40
04/01/2018	74.61	583.36	42.2	584.67	11	17.41	1114.46	0.00	47.55	836.28	9.83	33.03	1434.95	0.00	48	0.00	136.32	1275.92	64.80	0.00	0.00	95.28	1149.05	242.70
04/02/2018	74.74	583.43	42.41	585	11	17.93	1114.46	0.00	47.64	836.41	9.84	33.03	1434.95	0.00	48.1	0.00	137.16	1276.39	64.90	0.00	0.00	96.42	1149.80	352.90
04/03/2018	75.11	583.52	42.47	585.21	11	18.2	1125.54	0.00	47.74	836.56	9.83	33.13	1435.16	0.00	48.1	0.00	137.97	1276.85	65.00	0.00	0.00	97.43	1150.43	657.00
04/04/2018	75.31	583.73	42.65	585.28	11	18.52	1125.54	0.00	47.97	836.91	9.87	33.5	1435.93	0.00	48.2	0.00	138.98	1277.42	65.10	0.00	0.00	98.13	1150.88	963.40
04/05/2018	75.57	583.86	42.79	585.46	11	18.29	1125.54	0.00	48.11	837.11	9.86	33.75	1436.45	0.00	48.2	0.00	139.93	1277.94	65.30	0.00	0.00	98.42	1151.05	966.50
04/06/2018	75.9	584.02	42.94	585.59	10	18.25	1125.54	0.00	48.15	837.18	9.86	33.97	1436.92	0.00	46.6	0.00	140.78	1278.4	65.20	25.60	0.00	98.59	1151.16	967.10
04/07/2018	76.15	584.23	43	585.75	11	18.13	1125.54	0.00	48.15	837.18	9.83	34.13	1437.24	0.00	48.2	0.00	141.43	1278.75	64.60	59.40	0.00	98.56	1151.14	966.40
04/08/2018	76.4	584.38	42.96	585.8	11	18.04	1125.54	0.00	48.13	837.14	9.84	34.27	1437.54	0.00	48.3	0.00	141.59	1278.84	64.60	59.50	0.00	98.29	1150.96	966.20
04/09/2018	76.57	584.52	42.91	585.77	11	17.97	1125.54	0.00	48.36	837.49	9.82	34.18	1437.34	0.00	48.2	0.00	141.61	1278.85	64.70	59.50	0.00	97.97	1150.77	965.70
04/10/2018	76.79	584.63	42.76	585.71	11	17.9	1125.48	0.00	48.5	837.69	9.79	34.29	1437.57	0.00	48.3	0.00	142.15	1279.13	63.50	57.40	0.00	97.5	1150.48	964.00
04/11/2018	77	584.78	42.6	585.56	11	17.84	1125.48	0.00	48.69	837.97	9.76	34.41	1437.82	0.00	48.3	0.00	142.19	1279.16	64.70	59.90	0.00	97.08	1150.22	959.00
04/12/2018	77.08	584.9	42.54	585.4	12	17.84	1125.48	0.00	48.62	837.88	9.74	34.54	1438.1	0.00	48.3	0.00	142.24	1279.18	64.70	59.80	0.00	96.89	1150.10	959.80
04/13/2018	77.14	584.95	42.56	585.35	12	18.04	1125.20	0.00	48.6	837.84	9.73	34.73	1438.5	0.00	48.4	0.00	142.46	1279.31	64.70	59.90	0.00	96.79	1150.04	964.50
04/14/2018	77.23	585	42.73	585.37	12	18.17	1125.20	0.00	48.55	837.77	9.7	35.08	1439.22	0.00	48.4	0.00	143.06	1279.63	64.40	59.70	0.00	96.7	1149.98	973.60
04/15/2018	77.43	585.05	42.95	585.53	12	18.12	1125.20	0.00	48.22	837.29	9.68	35.36	1439.75	0.00	48.4	0.00	143.82	1280.06	64.40	59.70	0.00	96.65	1149.94	974.80
04/16/2018	78.2	585.17	45.39	585.75	14	19.35	1125.20	32.40	48.43	837.59	9.67	35.9	1440.86	0.00	69.2	0.00	145.45	1280.92	87.10	77.70	1.40	97.4	1150.42	969.40
04/17/2018	79.08	585.64	46.21	588.2	14	18.66	1129.34	10.10	48.64	837.9	9.67	35.73	1440.52	44.20	71	0.00	145.56	1280.98	0.00	0.00	22.90	98.14	1150.88	835.50
04/18/2018	79.56	586.15	46.08	589.03	425	18.35	1127.34	1.70	48.85	838.21	9.7	35.67	1440.39	6.50	71.1	0.00	145.1	1280.73	167.50	1.10	0.90	98.69	1151.22	417.00
04/19/2018	79.68	586.45	46.1	588.9	601	18.22	1126.58	0.00	49.02	838.48	9.72	35.63	1440.31	0.00	71.1	0.00	144.71	1280.52	216.10	177.40	0.00	99.11	1151.48	128.30
04/20/2018	79.61	586.5	45.92	588.94	607	18.11	1126.58	0.00	49.14	838.65	9.75	35.61	1440.27	0.00	71.1	0.00	144.37	1280.34	224.90	225.00	0.00	99.04	1151.44	324.30
04/21/2018	79.62	586.46	45.63	588.74	607	18.02	1126.58	0.00	49.15	838.66	9.79	35.62	1440.3	0.00	71.1	0.00	144.13	1280.21	224.70	225.10	0.00	98.42	1151.05	923.90
04/22/2018	79.57	586.47	45.28	588.44	606	17.97	1126.58	0.00	49.14	838.65	9.8	35.62	1440.3	0.00	71.1	0.00	143.87	1280.07	224.80	225.10	0.00	97.9	1150.73	964.00
04/23/2018	79.5	586.44	44.91	588.09	604	17.89	1125.43	0.00	49.11	838.6	9.8	35.6	1440.26	1.10	71	5.40	143.61	1279.93	224.80	225.00	0.00	97.48	1150.46	965.40
04/24/2018	79.52	586.4	44.88	587.72	559	17.9	1125.26	0.00	48.94	838.35	9.79	35.63	1440.31	0.00	70.9	19.90	143.54	1279.87	224.80	224.80	0.00	97.13	1150.25	964.90
04/25/2018	79.74	586.41	45.51	587.69	367	18.3	1125.26	0.00	49.06	838.53	9.79	35.75	1440.55	27.40	71	0.80	143.74	1280	224.80	224.60	0.00	97.55	1150.51	964.50
04/26/2018	79.8	586.53	45.87	588.32	311	18.24	1125.26	0.00	49.11	838.6	9.8	35.69	1440.43	29.80	71	0.00	143.87	1280.07	224.90	224.70	0.00	97.79	1150.66	965.30
04/27/2018	79.87	586.58	46.19	588.69	315	18.22	1126.30	0.00	49.16	838.67	9.81	35.68	1440.41	34.40	70.9	0.00	144.21	1280.25	224.90	224.70	0.00	97.95	1150.76	964.70
04/28/2018	80.12	586.61	46.47	589.01	315	18.23	1126.30	0.00	49.2	838.73	9.81	35.68	1440.41	35.10	70.9	0.00	144.28	1280.29	225.00	224.80	0.00	97.95	1150.76	964.90
04/29/2018	80.1	586.76	46.65	589.29	311	18.16	1126.30	0.00	49.22	838.76	9.78	35.65	1440.35	35.10	70.9	0.00	144.3	1280.3	224.90	224.90	0.00	97.87	1150.71	965.10
04/30/2018	80.12	586.75	46.81	589.45	296	18.26	1126.30	0.00	49.14	838.65	9.93	35.65	1440.35	39.90	70.9	0.00	144.41	1280.36	224.80	224.90	0.00	97.87	1150.71	964.90
05/01/2018	80.14	586.77	47.07	589.62	296	18.19	1126.30	0.00	49.01	838.45	14.67	35.64	1440.33	39.80	70.9	0.00	144.1	1280.19	224.90	224.90	0.00	97.79	1150.66	970.20
05/02/2018	80.28	586.79	47.26	589.9	39	18.34	1126.30	0.00	48.87	838.24	14.66	35.59	1440.24	39.80	70.9	0.00	144.02	1280.15	191.50	197.70	0.00	97.6	1150.54	971.40
05/03/2018	80.38	586.86	47.37	590.08	20	18.38	1126.30	0.00	48.88	838.26	14.65	35.54	1440.14	40.00	70.9	0.00	144.15	1280.23	174.90	174.50	0.00	97.5	1150.48	971.10
05/04/2018	80.55	586.93	47.37	590.18	22	18.37	1126.67	0.00	48.89	838.27	14.65	35.49	1440.03	39.80	70.9	0.00	144.19	1280.24	174.90	174.90	0.00	97.43	1150.44	971.10
05/05/2018	80.62	587.02	47.37	590.17	22	18.32	1126.67	0.00	48.92	838.32	14.63	35.43	1439.92	7.50	71	0.00	144.13	1280.21	174.90	175.00	0.00	97.31	1150.36	970.70
05/06/2018	80.77	587.07	47.4	590.18	23	18.43	1126.67	0.00	49.01	838.45	14.63	35.37	1439.8	0.00	66	0.00	144.35	1280.33	174.90	175.00	0.00	97.31	1150.36	970.40
05/07/2018	80.85	587.16	47.37	590.2	23	19.17	1126.82	0.00	49.07	838.55	14.65	35.3	1439.66	0.00	64.9	0.00	144.13	1280.21	155.20	86.00	0.00	97.23	1150.31	971.00
05/08/2018	80.88	587.21	47.34	590.18	21	19.69	1128.94	0.00	49.15	838.66	14.64	35.2	1439.46	0.00	64.9	0.00	144.11	1280.19	139.60	0.00	0.00	97.14	1150.25	832.80
05/09/2018	80.73	587.22	47.46	590.14	21	19.72	1128.94	0.00	49.18	838.7	14.65	35.08	1439.21	0.00	64.8	0.00	144	1280.13	193.80	0.00	0.00	97.14	1150.26	674.40
